Gen_Index,commit_init,time_up_init,time_down_init
1,1,200,4
2,1,200,1
3,1,200,4
4,1,200,6
8,1,200,4
9,1,200,6
10,1,200,6
12,1,200,1
13,1,200,6
14,1,200,6
15,1,200,6
16,1,200,6
17,1,200,4
1574,1,200,6
1575,1,200,6
1576,1,200,4
1579,1,200,0
1580,1,200,0
1582,1,200,0
1583,1,200,0
1586,1,4,0
1566,1,200,0
1567,1,200,0
1616,1,200,1
1617,1,200,1
1618,1,200,1
1619,1,200,1
1620,1,200,1
1621,1,200,1
1622,1,200,1
1623,1,200,0
1624,1,200,1
1625,1,200,1
1626,1,200,4
1627,1,200,4
1628,1,200,4
1629,1,200,4
1631,1,200,4
1633,1,200,4
1634,1,200,4
1635,1,200,4
1849,1,200,0
