Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Held as Reserves (MW)
1,1,1.0,0.0,0.0,201.0,0.0,8.05
1,2,1.0,-0.0,-0.0,202.0,0.0,8.05
1,3,1.0,-0.0,-0.0,203.0,0.0,8.05
1,4,1.0,-0.0,-0.0,204.0,0.0,8.05
1,5,1.0,-0.0,-0.0,205.0,0.0,8.05
1,6,1.0,-0.0,-0.0,206.0,0.0,8.05
1,7,1.0,-0.0,-0.0,207.0,0.0,8.05
1,8,1.0,-0.0,-0.0,208.0,0.0,8.05
1,9,1.0,-0.0,-0.0,209.0,0.0,8.05
1,10,1.0,-0.0,-0.0,210.0,0.0,8.05
1,11,1.0,-0.0,-0.0,211.0,0.0,8.05
1,12,1.0,-0.0,-0.0,212.0,0.0,0
1,13,1.0,-0.0,-0.0,213.0,0.0,0
1,14,1.0,-0.0,-0.0,214.0,0.0,0
1,15,1.0,-0.0,-0.0,215.0,0.0,0
1,16,1.0,-0.0,-0.0,216.0,0.0,0
1,17,1.0,-0.0,-0.0,217.0,0.0,0
1,18,1.0,-0.0,-0.0,218.0,0.0,0
1,19,1.0,-0.0,-0.0,219.0,0.0,0
1,20,1.0,-0.0,-0.0,220.0,0.0,0
1,21,1.0,-0.0,-0.0,221.0,0.0,0
1,22,1.0,-0.0,-0.0,222.0,0.0,0
1,23,1.0,-0.0,-0.0,223.0,0.0,0
1,24,1.0,-0.0,-0.0,224.0,0.0,8.05
1,25,1.0,-0.0,0.0,225.0,0.0,8.05
1,26,1.0,-0.0,-0.0,226.0,0.0,8.05
1,27,1.0,-0.0,-0.0,227.0,0.0,8.05
1,28,1.0,-0.0,-0.0,228.0,0.0,8.05
1,29,1.0,-0.0,-0.0,229.0,0.0,8.05
1,30,1.0,-0.0,-0.0,230.0,0.0,8.05
1,31,1.0,-0.0,-0.0,231.0,0.0,8.05
1,32,1.0,-0.0,-0.0,232.0,0.0,8.05
1,33,1.0,-0.0,-0.0,233.0,0.0,8.05
1,34,1.0,-0.0,-0.0,234.0,0.0,8.05
1,35,1.0,-0.0,-0.0,235.0,0.0,8.05
1,36,1.0,-0.0,-0.0,236.0,0.0,8.05
1,37,1.0,-0.0,-0.0,237.0,0.0,0
1,38,1.0,-0.0,-0.0,238.0,0.0,0
1,39,1.0,-0.0,-0.0,239.0,0.0,0
1,40,1.0,-0.0,0.0,240.0,0.0,0
1,41,1.0,-0.0,-0.0,241.0,0.0,0
1,42,1.0,-0.0,0.0,242.0,0.0,0
1,43,1.0,-0.0,-0.0,243.0,0.0,0
1,44,1.0,-0.0,-0.0,244.0,0.0,0
1,45,1.0,-0.0,-0.0,245.0,0.0,0
1,46,1.0,-0.0,-0.0,246.0,0.0,0
1,47,1.0,-0.0,-0.0,247.0,0.0,0
1,48,1.0,-0.0,-0.0,248.0,0.0,6.50
2,1,1.0,0.0,0.0,201.0,0.0,22.00
2,2,1.0,-0.0,-0.0,202.0,0.0,22.00
2,3,1.0,-0.0,-0.0,203.0,0.0,22.00
2,4,1.0,-0.0,-0.0,204.0,0.0,22.00
2,5,1.0,-0.0,-0.0,205.0,0.0,22.00
2,6,1.0,-0.0,-0.0,206.0,0.0,22.00
2,7,1.0,-0.0,-0.0,207.0,0.0,22.00
2,8,1.0,-0.0,-0.0,208.0,0.0,22.00
2,9,1.0,-0.0,-0.0,209.0,0.0,22.00
2,10,1.0,-0.0,-0.0,210.0,0.0,22.00
2,11,1.0,-0.0,-0.0,211.0,0.0,22.00
2,12,1.0,-0.0,-0.0,212.0,0.0,0
2,13,1.0,-0.0,-0.0,213.0,0.0,0
2,14,1.0,-0.0,-0.0,214.0,0.0,0
2,15,1.0,-0.0,-0.0,215.0,0.0,0
2,16,1.0,-0.0,-0.0,216.0,0.0,0
2,17,1.0,-0.0,-0.0,217.0,0.0,0
2,18,1.0,-0.0,-0.0,218.0,0.0,0
2,19,1.0,-0.0,-0.0,219.0,0.0,0
2,20,1.0,-0.0,-0.0,220.0,0.0,0
2,21,1.0,-0.0,-0.0,221.0,0.0,0
2,22,1.0,-0.0,-0.0,222.0,0.0,0
2,23,1.0,-0.0,-0.0,223.0,0.0,0
2,24,1.0,-0.0,-0.0,224.0,0.0,22.00
2,25,1.0,-0.0,-0.0,225.0,0.0,22.00
2,26,1.0,-0.0,-0.0,226.0,0.0,22.00
2,27,1.0,-0.0,-0.0,227.0,0.0,22.00
2,28,1.0,-0.0,-0.0,228.0,0.0,22.00
2,29,1.0,-0.0,-0.0,229.0,0.0,22.00
2,30,1.0,-0.0,-0.0,230.0,0.0,22.00
2,31,1.0,-0.0,-0.0,231.0,0.0,22.00
2,32,1.0,-0.0,-0.0,232.0,0.0,22.00
2,33,1.0,-0.0,-0.0,233.0,0.0,22.00
2,34,1.0,-0.0,-0.0,234.0,0.0,22.00
2,35,1.0,-0.0,-0.0,235.0,0.0,22.00
2,36,1.0,-0.0,-0.0,236.0,0.0,22.00
2,37,1.0,-0.0,-0.0,237.0,0.0,0
2,38,1.0,-0.0,-0.0,238.0,0.0,0
2,39,1.0,-0.0,-0.0,239.0,0.0,0
2,40,1.0,-0.0,-0.0,240.0,0.0,0
2,41,1.0,-0.0,-0.0,241.0,0.0,0
2,42,1.0,-0.0,-0.0,242.0,0.0,0
2,43,1.0,-0.0,-0.0,243.0,0.0,0
2,44,1.0,-0.0,-0.0,244.0,0.0,0
2,45,1.0,-0.0,-0.0,245.0,0.0,0
2,46,1.0,-0.0,-0.0,246.0,0.0,0
2,47,1.0,-0.0,-0.0,247.0,0.0,0
2,48,1.0,-0.0,-0.0,248.0,0.0,22.00
3,1,1.0,0.0,0.0,201.0,0.0,22.00
3,2,1.0,-0.0,-0.0,202.0,0.0,22.00
3,3,1.0,-0.0,-0.0,203.0,0.0,22.00
3,4,1.0,-0.0,-0.0,204.0,0.0,22.00
3,5,1.0,-0.0,-0.0,205.0,0.0,22.00
3,6,1.0,-0.0,-0.0,206.0,0.0,22.00
3,7,1.0,-0.0,-0.0,207.0,0.0,22.00
3,8,1.0,-0.0,-0.0,208.0,0.0,22.00
3,9,1.0,-0.0,-0.0,209.0,0.0,22.00
3,10,1.0,-0.0,-0.0,210.0,0.0,22.00
3,11,1.0,-0.0,-0.0,211.0,0.0,22.00
3,12,1.0,-0.0,-0.0,212.0,0.0,0
3,13,1.0,-0.0,-0.0,213.0,0.0,0
