,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,8.05,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,8.05,6.44,6.44,6.44,6.44,6.44,8.05,6.44,6.44,6.44,6.44,6.44,8.05,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,9.60
NORTH-2,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,22.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,22.00,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,22.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,22.00
NORTH-3,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,22.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,22.00,17.60,17.60,17.60,17.60,17.60,19.51,17.60,17.60,17.60,17.60,17.60,22.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00
NORTH-4,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,94.54,87.60,132.93,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,109.50,87.60,87.60,87.60,87.60,87.60,183.10,87.60,87.60,87.60,87.60,87.60,182.76,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00
NORTH-8,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,58.00,58.00,58.00,58.00,46.40,54.27,46.40,46.40,46.40,47.00,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,58.00,51.02,58.00,46.40,46.40,58.00,46.40,48.16,46.40,50.61,46.40,0
NORTH-9,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,39.50,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,39.50,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,39.50,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,39.50
NORTH-10,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,5.50,4.40,9.90,11.00,5.50,11.00,11.00,11.00,11.00,5.50,5.50,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00
NORTH-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-13,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,55.00,55.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,107.93,52.93,44.00,44.00,44.00,44.00,99.00,44.00,44.00,44.00,44.00,55.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00
NORTH-14,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,72.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,72.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,72.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,40.00
