,MW on reserve segment
"1,1",1000.00
"1,2",1000.00
"1,3",1000.00
"1,4",1000.00
"1,5",1000.00
"1,6",1000.00
"1,7",1000.00
"1,8",1000.00
"1,9",1000.00
"1,10",1000.00
"1,11",1000.00
"1,12",1000.00
"1,13",1000.00
"1,14",1000.00
"1,15",1000.00
"1,16",1000.00
"1,17",1000.00
"1,18",1000.00
"1,19",1000.00
"1,20",1000.00
"1,21",1000.00
"1,22",1000.00
"1,23",1000.00
"1,24",1000.00
"1,25",1000.00
"1,26",1000.00
"1,27",1000.00
"1,28",1000.00
"1,29",1000.00
"1,30",1000.00
"1,31",1000.00
"1,32",1000.00
"1,33",1000.00
"1,34",1000.00
"1,35",1000.00
"1,36",1000.00
"1,37",1000.00
"1,38",1000.00
"1,39",1000.00
"1,40",1000.00
"1,41",1000.00
"1,42",1000.00
"1,43",1000.00
"1,44",1000.00
"1,45",1000.00
"1,46",1000.00
"1,47",1000.00
"1,48",1000.00
"2,1",100.00
"2,2",100.00
"2,3",100.00
"2,4",100.00
"2,5",100.00
"2,6",100.00
"2,7",100.00
"2,8",100.00
"2,9",100.00
"2,10",100.00
"2,11",100.00
"2,12",100.00
"2,13",100.00
"2,14",100.00
"2,15",100.00
"2,16",100.00
"2,17",100.00
"2,18",100.00
"2,19",100.00
"2,20",100.00
"2,21",100.00
"2,22",100.00
"2,23",100.00
"2,24",100.00
"2,25",100.00
"2,26",100.00
"2,27",100.00
"2,28",100.00
"2,29",100.00
"2,30",100.00
"2,31",100.00
"2,32",100.00
"2,33",100.00
"2,34",100.00
"2,35",100.00
"2,36",100.00
"2,37",100.00
"2,38",100.00
"2,39",100.00
"2,40",100.00
"2,41",100.00
"2,42",100.00
"2,43",100.00
"2,44",100.00
"2,45",100.00
"2,46",100.00
"2,47",100.00
"2,48",100.00
"3,1",100.00
"3,2",100.00
"3,3",100.00
"3,4",100.00
"3,5",100.00
"3,6",100.00
"3,7",100.00
"3,8",100.00
"3,9",100.00
"3,10",100.00
"3,11",100.00
"3,12",100.00
"3,13",100.00
"3,14",100.00
"3,15",100.00
"3,16",100.00
"3,17",100.00
"3,18",100.00
"3,19",100.00
"3,20",100.00
"3,21",100.00
"3,22",100.00
"3,23",100.00
"3,24",100.00
"3,25",100.00
"3,26",100.00
"3,27",100.00
"3,28",100.00
"3,29",100.00
"3,30",100.00
"3,31",100.00
"3,32",100.00
"3,33",100.00
"3,34",100.00
"3,35",100.00
"3,36",100.00
"3,37",100.00
"3,38",100.00
"3,39",100.00
"3,40",100.00
"3,41",100.00
"3,42",100.00
"3,43",100.00
"3,44",100.00
"3,45",100.00
"3,46",100.00
"3,47",100.00
"3,48",100.00
"4,1",100.00
"4,2",100.00
"4,3",100.00
"4,4",100.00
"4,5",100.00
"4,6",100.00
"4,7",100.00
"4,8",100.00
"4,9",100.00
"4,10",100.00
"4,11",100.00
"4,12",100.00
"4,13",100.00
"4,14",100.00
"4,15",100.00
"4,16",100.00
"4,17",100.00
"4,18",100.00
"4,19",100.00
"4,20",100.00
"4,21",100.00
"4,22",100.00
"4,23",100.00
"4,24",100.00
"4,25",100.00
"4,26",100.00
"4,27",100.00
"4,28",100.00
"4,29",100.00
"4,30",100.00
"4,31",100.00
"4,32",100.00
"4,33",100.00
"4,34",100.00
"4,35",100.00
"4,36",100.00
"4,37",100.00
"4,38",100.00
"4,39",100.00
"4,40",100.00
"4,41",100.00
"4,42",100.00
"4,43",100.00
"4,44",100.00
"4,45",100.00
"4,46",100.00
"4,47",100.00
"4,48",100.00
"5,1",100.00
"5,2",100.00
"5,3",100.00
"5,4",100.00
"5,5",100.00
"5,6",100.00
"5,7",100.00
"5,8",100.00
"5,9",100.00
"5,10",100.00
"5,11",100.00
"5,12",100.00
"5,13",100.00
"5,14",100.00
"5,15",100.00
"5,16",100.00
"5,17",100.00
"5,18",100.00
"5,19",100.00
"5,20",100.00
"5,21",100.00
"5,22",100.00
"5,23",100.00
"5,24",100.00
"5,25",100.00
"5,26",100.00
"5,27",100.00
"5,28",100.00
"5,29",100.00
"5,30",100.00
"5,31",100.00
"5,32",100.00
"5,33",100.00
"5,34",100.00
"5,35",100.00
"5,36",100.00
"5,37",100.00
"5,38",100.00
"5,39",100.00
"5,40",100.00
"5,41",100.00
"5,42",100.00
"5,43",100.00
"5,44",100.00
"5,45",100.00
"5,46",100.00
"5,47",100.00
"5,48",100.00
"6,1",100.00
"6,2",100.00
"6,3",100.00
"6,4",100.00
"6,5",100.00
"6,6",100.00
"6,7",100.00
"6,8",100.00
"6,9",100.00
"6,10",100.00
"6,11",100.00
"6,12",100.00
"6,13",100.00
"6,14",100.00
"6,15",100.00
"6,16",100.00
"6,17",100.00
"6,18",100.00
"6,19",100.00
"6,20",100.00
"6,21",100.00
"6,22",100.00
"6,23",100.00
"6,24",100.00
"6,25",100.00
"6,26",100.00
"6,27",100.00
"6,28",100.00
"6,29",100.00
"6,30",100.00
"6,31",100.00
"6,32",100.00
"6,33",100.00
"6,34",100.00
"6,35",100.00
"6,36",100.00
"6,37",100.00
"6,38",100.00
"6,39",100.00
"6,40",100.00
"6,41",100.00
"6,42",100.00
"6,43",100.00
"6,44",100.00
"6,45",100.00
"6,46",100.00
"6,47",100.00
"6,48",100.00
"7,1",100.00
"7,2",100.00
"7,3",100.00
"7,4",100.00
"7,5",100.00
"7,6",100.00
"7,7",100.00
"7,8",100.00
"7,9",100.00
"7,10",100.00
"7,11",100.00
"7,12",100.00
"7,13",100.00
"7,14",100.00
"7,15",100.00
"7,16",100.00
"7,17",100.00
"7,18",100.00
"7,19",100.00
"7,20",100.00
"7,21",100.00
"7,22",100.00
"7,23",100.00
"7,24",100.00
"7,25",100.00
"7,26",100.00
"7,27",100.00
"7,28",100.00
"7,29",100.00
"7,30",100.00
"7,31",100.00
"7,32",100.00
"7,33",100.00
"7,34",100.00
"7,35",100.00
"7,36",100.00
"7,37",100.00
"7,38",100.00
"7,39",100.00
"7,40",100.00
"7,41",100.00
"7,42",100.00
"7,43",100.00
"7,44",100.00
"7,45",100.00
"7,46",100.00
"7,47",100.00
"7,48",100.00
"8,1",100.00
"8,2",100.00
"8,3",100.00
"8,4",100.00
"8,5",100.00
"8,6",100.00
"8,7",100.00
"8,8",100.00
"8,9",100.00
"8,10",100.00
"8,11",100.00
"8,12",100.00
"8,13",100.00
"8,14",100.00
"8,15",100.00
"8,16",100.00
"8,17",100.00
"8,18",100.00
"8,19",100.00
"8,20",100.00
"8,21",100.00
"8,22",100.00
"8,23",100.00
"8,24",100.00
"8,25",100.00
"8,26",100.00
"8,27",100.00
"8,28",100.00
"8,29",100.00
"8,30",100.00
"8,31",100.00
"8,32",100.00
"8,33",100.00
"8,34",100.00
"8,35",100.00
"8,36",100.00
"8,37",100.00
"8,38",100.00
"8,39",100.00
"8,40",100.00
"8,41",100.00
"8,42",33.92
"8,43",100.00
"8,44",100.00
"8,45",100.00
"8,46",100.00
"8,47",100.00
"8,48",100.00
"9,1",100.00
"9,2",100.00
"9,3",100.00
"9,4",100.00
"9,5",100.00
"9,6",100.00
"9,7",100.00
"9,8",100.00
"9,9",100.00
"9,10",100.00
"9,11",100.00
"9,12",100.00
"9,13",100.00
"9,14",54.23
"9,15",84.62
"9,16",100.00
"9,17",100.00
"9,18",100.00
"9,19",100.00
"9,20",100.00
"9,21",100.00
"9,22",100.00
"9,23",100.00
"9,24",100.00
"9,25",100.00
"9,26",100.00
"9,27",100.00
"9,28",100.00
"9,29",100.00
"9,30",100.00
"9,31",100.00
"9,32",100.00
"9,33",100.00
"9,34",100.00
"9,35",100.00
"9,36",100.00
"9,37",100.00
"9,38",100.00
"9,39",100.00
"9,40",100.00
"9,41",100.00
"9,42",0
"9,43",100.00
"9,44",100.00
"9,45",100.00
"9,46",100.00
"9,47",100.00
"9,48",100.00
"10,1",200.00
"10,2",200.00
"10,3",200.00
"10,4",200.00
"10,5",200.00
"10,6",200.00
"10,7",200.00
"10,8",200.00
"10,9",200.00
"10,10",200.00
"10,11",200.00
"10,12",200.00
"10,13",200.00
"10,14",0
"10,15",0
"10,16",199.50
"10,17",200.00
"10,18",200.00
"10,19",200.00
"10,20",200.00
"10,21",200.00
"10,22",200.00
"10,23",200.00
"10,24",200.00
"10,25",200.00
"10,26",200.00
"10,27",200.00
"10,28",200.00
"10,29",200.00
"10,30",200.00
"10,31",200.00
"10,32",200.00
"10,33",200.00
"10,34",200.00
"10,35",200.00
"10,36",200.00
"10,37",188.82
"10,38",200.00
"10,39",151.47
"10,40",200.00
"10,41",200.00
"10,42",0
"10,43",200.00
"10,44",200.00
"10,45",200.00
"10,46",200.00
"10,47",200.00
"10,48",200.00
