,congestion price ($/MW),flow (MW)
SOUTH_to_NORTH-1,-20.49,500.00
SOUTH_to_NORTH-2,-20.49,500.00
SOUTH_to_NORTH-3,-20.49,500.00
SOUTH_to_NORTH-4,-20.49,500.00
SOUTH_to_NORTH-5,-20.49,500.00
SOUTH_to_NORTH-6,-20.49,500.00
SOUTH_to_NORTH-7,-20.49,500.00
SOUTH_to_NORTH-8,-20.49,500.00
SOUTH_to_NORTH-9,-20.49,500.00
SOUTH_to_NORTH-10,-20.49,500.00
SOUTH_to_NORTH-11,-22.86,500.00
SOUTH_to_NORTH-12,-27.19,500.00
SOUTH_to_NORTH-13,-27.19,500.00
SOUTH_to_NORTH-14,-27.19,500.00
SOUTH_to_NORTH-15,-27.19,500.00
SOUTH_to_NORTH-16,-47.19,500.00
SOUTH_to_NORTH-17,-27.19,500.00
SOUTH_to_NORTH-18,-30.46,500.00
SOUTH_to_NORTH-19,-28.46,500.00
SOUTH_to_NORTH-20,-28.46,500.00
SOUTH_to_NORTH-21,-28.46,500.00
SOUTH_to_NORTH-22,-30.46,500.00
SOUTH_to_NORTH-23,-27.19,500.00
SOUTH_to_NORTH-24,-22.52,500.00
SOUTH_to_NORTH-25,-18.89,500.00
SOUTH_to_NORTH-26,-18.89,500.00
SOUTH_to_NORTH-27,-20.49,500.00
SOUTH_to_NORTH-28,-20.49,500.00
SOUTH_to_NORTH-29,-18.89,500.00
SOUTH_to_NORTH-30,-24.71,0
SOUTH_to_NORTH-31,-19.70,500.00
SOUTH_to_NORTH-32,-20.49,500.00
SOUTH_to_NORTH-33,-20.49,500.00
SOUTH_to_NORTH-34,-19.70,500.00
SOUTH_to_NORTH-35,-18.89,500.00
SOUTH_to_NORTH-36,-22.86,500.00
SOUTH_to_NORTH-37,-47.19,500.00
SOUTH_to_NORTH-38,-30.46,500.00
SOUTH_to_NORTH-39,-47.19,500.00
SOUTH_to_NORTH-40,-28.46,500.00
SOUTH_to_NORTH-41,-27.19,500.00
SOUTH_to_NORTH-42,-27.19,500.00
SOUTH_to_NORTH-43,-27.19,500.00
SOUTH_to_NORTH-44,-30.46,500.00
SOUTH_to_NORTH-45,-28.46,500.00
SOUTH_to_NORTH-46,-30.46,500.00
SOUTH_to_NORTH-47,-27.19,500.00
SOUTH_to_NORTH-48,-27.19,500.00
