,hour,LMP
NORTH,1,22.49
NORTH,2,22.49
NORTH,3,22.49
NORTH,4,22.49
NORTH,5,22.49
NORTH,6,22.49
NORTH,7,22.49
NORTH,8,22.49
NORTH,9,24.86
NORTH,10,22.49
NORTH,11,24.86
NORTH,12,29.19
NORTH,13,46.94
NORTH,14,69.19
NORTH,15,69.19
NORTH,16,49.19
NORTH,17,29.19
NORTH,18,32.46
NORTH,19,30.46
NORTH,20,30.46
NORTH,21,30.46
NORTH,22,32.46
NORTH,23,29.19
NORTH,24,24.52
NORTH,25,20.89
NORTH,26,20.89
NORTH,27,22.49
NORTH,28,22.49
NORTH,29,20.89
NORTH,30,26.71
NORTH,31,21.70
NORTH,32,22.49
NORTH,33,22.49
NORTH,34,21.70
NORTH,35,20.89
NORTH,36,24.86
NORTH,37,49.19
NORTH,38,32.46
NORTH,39,49.19
NORTH,40,30.46
NORTH,41,29.19
NORTH,42,89.19
NORTH,43,29.19
NORTH,44,32.46
NORTH,45,30.46
NORTH,46,32.46
NORTH,47,29.19
NORTH,48,29.19
SOUTH,1,0
SOUTH,2,0
SOUTH,3,0
SOUTH,4,0
SOUTH,5,0
SOUTH,6,0
SOUTH,7,0
SOUTH,8,0
SOUTH,9,2.38
SOUTH,10,0
SOUTH,11,0
SOUTH,12,0
SOUTH,13,17.76
SOUTH,14,40.00
SOUTH,15,40.00
SOUTH,16,0
SOUTH,17,0
SOUTH,18,0
SOUTH,19,0
SOUTH,20,0
SOUTH,21,0
SOUTH,22,0
SOUTH,23,0
SOUTH,24,0
SOUTH,25,0
SOUTH,26,0
SOUTH,27,0
SOUTH,28,0
SOUTH,29,0
SOUTH,30,0
SOUTH,31,0
SOUTH,32,0
SOUTH,33,0
SOUTH,34,0
SOUTH,35,0
SOUTH,36,0
SOUTH,37,0
SOUTH,38,0
SOUTH,39,0
SOUTH,40,0
SOUTH,41,0
SOUTH,42,60.00
SOUTH,43,0
SOUTH,44,0
SOUTH,45,0
SOUTH,46,0
SOUTH,47,0
SOUTH,48,0
