Gen_Index,timepoint,Committed,Started,Shut,TimeOn,TimeOff,Total Held as Primary Synch Reserves (MW),Total Held as Primary NonSynch Reserves (MW),Total Held as Primary Reserves (MW),Total Held as Secondary Reserves (MW)
1,1,1.0,0.0,0.0,201.0,0.0,8.05,0,8.05,9.66
1,2,1.0,-0.0,-0.0,202.0,0.0,8.05,0,8.05,9.66
1,3,1.0,-0.0,-0.0,203.0,0.0,8.05,0,8.05,9.66
1,4,1.0,-0.0,-0.0,204.0,0.0,8.05,0,8.05,9.66
1,5,1.0,-0.0,-0.0,205.0,0.0,8.05,0,8.05,9.66
1,6,1.0,-0.0,-0.0,206.0,0.0,8.05,0,8.05,9.66
1,7,1.0,-0.0,-0.0,207.0,0.0,8.05,0,8.05,9.66
1,8,1.0,-0.0,-0.0,208.0,0.0,8.05,0,8.05,9.66
1,9,1.0,-0.0,-0.0,209.0,0.0,8.05,0,8.05,9.66
1,10,1.0,-0.0,-0.0,210.0,0.0,8.05,0,8.05,9.66
1,11,1.0,-0.0,-0.0,211.0,0.0,8.05,0,8.05,9.66
1,12,1.0,-0.0,-0.0,212.0,0.0,8.05,0,8.05,8.05
1,13,1.0,-0.0,-0.0,213.0,0.0,0,0,0,0
1,14,1.0,-0.0,-0.0,214.0,0.0,0,0,0,0
1,15,1.0,-0.0,-0.0,215.0,0.0,0,0,0,0
1,16,1.0,-0.0,-0.0,216.0,0.0,0,0,0,0
1,17,1.0,-0.0,-0.0,217.0,0.0,0,0,0,0
1,18,1.0,-0.0,-0.0,218.0,0.0,0,0,0,0
1,19,1.0,-0.0,-0.0,219.0,0.0,0,0,0,0
1,20,1.0,-0.0,-0.0,220.0,0.0,0,0,0,0
1,21,1.0,-0.0,-0.0,221.0,0.0,0,0,0,0
1,22,1.0,-0.0,-0.0,222.0,0.0,0,0,0,0
1,23,1.0,-0.0,-0.0,223.0,0.0,8.05,0,8.05,8.05
1,24,1.0,-0.0,-0.0,224.0,0.0,8.05,0,8.05,9.66
1,25,1.0,-0.0,0.0,225.0,0.0,8.05,0,8.05,9.66
1,26,1.0,-0.0,-0.0,226.0,0.0,8.05,0,8.05,9.66
1,27,1.0,-0.0,-0.0,227.0,0.0,8.05,0,8.05,9.66
1,28,1.0,-0.0,-0.0,228.0,0.0,8.05,0,8.05,9.66
1,29,1.0,-0.0,-0.0,229.0,0.0,8.05,0,8.05,9.66
1,30,1.0,-0.0,-0.0,230.0,0.0,8.05,0,8.05,9.66
1,31,1.0,-0.0,-0.0,231.0,0.0,8.05,0,8.05,9.66
1,32,1.0,-0.0,-0.0,232.0,0.0,8.05,0,8.05,9.66
1,33,1.0,-0.0,-0.0,233.0,0.0,8.05,0,8.05,9.66
1,34,1.0,-0.0,-0.0,234.0,0.0,8.05,0,8.05,9.66
1,35,1.0,-0.0,-0.0,235.0,0.0,8.05,0,8.05,9.66
1,36,1.0,-0.0,-0.0,236.0,0.0,8.05,0,8.05,8.05
1,37,1.0,-0.0,-0.0,237.0,0.0,8.05,0,8.05,8.05
1,38,1.0,-0.0,-0.0,238.0,0.0,0,0,0,0
1,39,1.0,-0.0,-0.0,239.0,0.0,0,0,0,0
1,40,1.0,-0.0,-0.0,240.0,0.0,0,0,0,0
1,41,1.0,-0.0,-0.0,241.0,0.0,0,0,0,0
1,42,1.0,-0.0,-0.0,242.0,0.0,0,0,0,0
1,43,1.0,-0.0,-0.0,243.0,0.0,0,0,0,0
1,44,1.0,-0.0,-0.0,244.0,0.0,0,0,0,0
1,45,1.0,-0.0,-0.0,245.0,0.0,0,0,0,0
1,46,1.0,-0.0,-0.0,246.0,0.0,0,0,0,0
1,47,1.0,-0.0,-0.0,247.0,0.0,8.05,0,8.05,8.05
1,48,1.0,-0.0,-0.0,248.0,0.0,8.05,0,8.05,9.66
2,1,0.0,0.0,1.0,0.0,1.0,0,5000.00,5000.00,5000.00
2,2,0.0,0.0,0.0,0.0,2.0,0,5000.00,5000.00,5000.00
2,3,0.0,0.0,0.0,0.0,3.0,0,5000.00,5000.00,5000.00
2,4,0.0,0.0,0.0,0.0,4.0,0,5000.00,5000.00,5000.00
2,5,0.0,0.0,0.0,0.0,5.0,0,5000.00,5000.00,5000.00
2,6,0.0,0.0,0.0,0.0,6.0,0,5000.00,5000.00,5000.00
2,7,0.0,0.0,0.0,0.0,7.0,0,5000.00,5000.00,5000.00
2,8,0.0,0.0,0.0,0.0,8.0,0,5000.00,5000.00,5000.00
2,9,0.0,0.0,0.0,0.0,9.0,0,5000.00,5000.00,5000.00
2,10,0.0,0.0,0.0,0.0,10.0,0,5000.00,5000.00,5000.00
2,11,0.0,0.0,0.0,0.0,11.0,0,5000.00,5000.00,5000.00
2,12,0.0,0.0,0.0,0.0,12.0,0,5000.00,5000.00,5000.00
2,13,0.0,0.0,0.0,0.0,13.0,0,5000.00,5000.00,5000.00
2,14,0.0,0.0,0.0,0.0,14.0,0,5000.00,5000.00,5000.00
2,15,0.0,0.0,0.0,0.0,15.0,0,5000.00,5000.00,5000.00
2,16,0.0,0.0,0.0,0.0,16.0,0,5000.00,5000.00,5000.00
2,17,0.0,0.0,0.0,0.0,17.0,0,5000.00,5000.00,5000.00
2,18,0.0,0.0,0.0,0.0,18.0,0,5000.00,5000.00,5000.00
2,19,0.0,0.0,0.0,0.0,19.0,0,5000.00,5000.00,5000.00
2,20,0.0,0.0,0.0,0.0,20.0,0,5000.00,5000.00,5000.00
2,21,0.0,0.0,0.0,0.0,21.0,0,5000.00,5000.00,5000.00
2,22,0.0,0.0,0.0,0.0,22.0,0,5000.00,5000.00,5000.00
2,23,0.0,0.0,0.0,0.0,23.0,0,5000.00,5000.00,5000.00
2,24,0.0,0.0,0.0,0.0,24.0,0,5000.00,5000.00,5000.00
2,25,0.0,0.0,0.0,0.0,25.0,0,5000.00,5000.00,5000.00
2,26,0.0,0.0,0.0,0.0,26.0,0,5000.00,5000.00,5000.00
2,27,0.0,0.0,0.0,0.0,27.0,0,5000.00,5000.00,5000.00
2,28,0.0,0.0,0.0,0.0,28.0,0,5000.00,5000.00,5000.00
2,29,0.0,0.0,0.0,0.0,29.0,0,5000.00,5000.00,5000.00
2,30,0.0,0.0,0.0,0.0,30.0,0,5000.00,5000.00,5000.00
2,31,-0.0,-0.0,0.0,0.0,31.0,0,5000.00,5000.00,5000.00
2,32,-0.0,-0.0,-0.0,0.0,32.0,0,5000.00,5000.00,5000.00
2,33,-0.0,-0.0,-0.0,0.0,33.0,0,5000.00,5000.00,5000.00
2,34,-0.0,-0.0,-0.0,0.0,34.0,0,5000.00,5000.00,5000.00
2,35,-0.0,-0.0,-0.0,0.0,35.0,0,5000.00,5000.00,5000.00
2,36,0.0,-0.0,-0.0,0.0,36.0,0,5000.00,5000.00,5000.00
2,37,0.0,-0.0,-0.0,0.0,37.0,0,5000.00,5000.00,5000.00
2,38,0.0,-0.0,-0.0,0.0,38.0,0,5000.00,5000.00,5000.00
