,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1-1,0,0,4.03,4.03,4.03,4.03,0,0,4.03,4.03,2.42,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,2.42,0,4.03,4.03,4.03,4.03,4.03,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,0,4.03
NORTH-1-2,4.03,0,2.42,2.42,2.42,2.42,0,2.42,2.42,2.42,4.03,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,2.42,0,0,0,2.42,2.42,2.42,2.42,2.42,4.03,2.42,2.42,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,2.42
NORTH-1-3,0,4.03,0,0,0,0,2.42,0,0,0,0,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,0,0,0,0,2.42,0,0,0,0,0,2.42,0,0,4.03,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,0,0
NORTH-1-4,2.42,2.42,0,0,0,0,4.03,4.03,0,0,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,0,0,2.42,4.03,4.03,0,0,0,0,0,0,0,0,0,0,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,0
NORTH-2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-2-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-3-1,0,11.00,11.00,11.00,11.00,11.00,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0,11.00,11.00,11.00,11.00,11.00,11.00,0,11.00,0,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00
NORTH-3-2,11.00,0,6.60,6.60,6.60,0,11.00,0,6.60,6.60,6.60,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,6.60,6.60,11.00,6.60,6.60,6.60,6.60,6.60,6.60,11.00,6.60,11.00,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0,6.60
NORTH-3-3,6.60,6.60,0,0,0,0,6.60,6.60,0,0,0,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0,0,0,0,0,0,0,0,0,0,6.60,0,6.60,11.00,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0,0
NORTH-3-4,0,0,0,0,0,6.60,0,0,0,0,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0,0,0,6.60,0,0,0,0,0,0,0,0,0,11.00,0,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0
NORTH-4-1,0,54.75,54.75,54.75,54.75,0,0,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,32.85,0,54.75,54.75,54.75,54.75,54.75,0,54.75,0,0,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75
