timepoint,zone,wind,solar,curtailment
1,NORTH,481.857113,0.0,0.0
1,SOUTH,481.857113,0.0,0.0
2,NORTH,456.739751,0.0,0.0
2,SOUTH,456.739751,0.0,0.0
3,NORTH,440.935925,0.0,0.0
3,SOUTH,440.935925,0.0,0.0
4,NORTH,423.252899,0.0,0.0
4,SOUTH,423.252899,0.0,0.0
5,NORTH,409.20178699999997,0.0,0.0
5,SOUTH,409.20178699999997,0.0,0.0
6,NORTH,412.95872,0.0,0.0
6,SOUTH,412.95872,0.0,0.0
7,NORTH,409.26270900000003,0.0,0.0
7,SOUTH,409.26270900000003,0.0,0.0
8,NORTH,410.283703,0.0,0.0
8,SOUTH,410.283703,0.0,0.0
9,NORTH,363.20093799999995,6.256626000000001,0.0
9,SOUTH,363.20093799999995,6.256626000000001,0.0
10,NORTH,295.50195099999996,75.876368,0.0
10,SOUTH,295.50195099999996,75.876368,0.0
11,NORTH,262.083895,39.045423,0.0
11,SOUTH,262.083895,39.045423,0.0
12,NORTH,262.71453099999997,43.238631999999996,0.0
12,SOUTH,262.71453099999997,43.238631999999996,0.0
13,NORTH,260.696059,34.929981999999995,0.0
13,SOUTH,260.696059,34.929981999999995,0.0
14,NORTH,271.471693,113.20261099999999,0.0
14,SOUTH,271.471693,113.20261099999999,0.0
15,NORTH,279.72306299999997,211.138922,5.684341886080802e-14
15,SOUTH,279.72306299999997,211.138922,5.684341886080802e-14
16,NORTH,382.972109,251.02487499999998,5.684341886080802e-14
16,SOUTH,382.972109,251.02487499999998,5.684341886080802e-14
17,NORTH,535.05762,221.631994,0.0
17,SOUTH,535.05762,221.631994,0.0
18,NORTH,671.329898,0.0,0.0
18,SOUTH,671.329898,0.0,0.0
19,NORTH,721.1713010000001,0.0,0.0
19,SOUTH,721.1713010000001,0.0,0.0
20,NORTH,728.7359789999999,0.0,0.0
20,SOUTH,728.7359789999999,0.0,0.0
21,NORTH,722.283432,0.0,0.0
21,SOUTH,722.283432,0.0,0.0
22,NORTH,719.103254,0.0,0.0
22,SOUTH,719.103254,0.0,0.0
23,NORTH,723.729011,0.0,0.0
23,SOUTH,723.729011,0.0,0.0
24,NORTH,687.010259,0.0,0.0
24,SOUTH,687.010259,0.0,0.0
25,NORTH,689.964032,0.0,0.0
25,SOUTH,689.964032,0.0,0.0
26,NORTH,687.260968,0.0,0.0
26,SOUTH,687.260968,0.0,0.0
27,NORTH,681.81434,0.0,0.0
27,SOUTH,681.81434,0.0,0.0
28,NORTH,682.787501,0.0,0.0
28,SOUTH,682.787501,0.0,0.0
29,NORTH,691.157284,0.0,0.0
29,SOUTH,691.157284,0.0,0.0
30,NORTH,686.956961,0.0,0.0
30,SOUTH,329.45215169999994,0.0,357.50480930000003
31,NORTH,651.4842199999999,0.0,0.0
31,SOUTH,651.4842199999999,0.0,0.0
32,NORTH,603.2764940000001,0.0,0.0
32,SOUTH,603.2764940000001,0.0,0.0
33,NORTH,554.984823,189.203462,0.0
33,SOUTH,554.984823,189.203462,0.0
34,NORTH,513.002705,385.337468,1.1368683772161603e-13
34,SOUTH,513.002705,364.13054669999997,21.20692130000009
35,NORTH,465.492485,334.269049,0.0
35,SOUTH,465.492485,334.269049,0.0
36,NORTH,429.304208,364.10090499999995,5.684341886080802e-14
36,SOUTH,429.304208,364.10090499999995,5.684341886080802e-14
37,NORTH,412.034743,291.43584,5.684341886080802e-14
37,SOUTH,412.034743,291.43584,5.684341886080802e-14
38,NORTH,394.493584,275.60172900000003,0.0
38,SOUTH,394.493584,275.60172900000003,0.0
39,NORTH,383.460721,201.304837,-5.684341886080802e-14
39,SOUTH,383.460721,201.304837,-5.684341886080802e-14
40,NORTH,385.321411,306.263571,5.684341886080802e-14
40,SOUTH,385.321411,306.263571,5.684341886080802e-14
41,NORTH,390.685151,223.590133,0.0
41,SOUTH,331.92068399999994,223.590133,58.76446700000008
42,NORTH,355.510817,0.0,0.0
42,SOUTH,355.510817,0.0,0.0
43,NORTH,616.926094,0.0,0.0
43,SOUTH,555.510817,0.0,61.41527700000006
44,NORTH,717.938002,0.0,0.0
44,SOUTH,717.938002,0.0,0.0
45,NORTH,722.104373,0.0,0.0
45,SOUTH,722.104373,0.0,0.0
46,NORTH,715.4941249999999,0.0,0.0
46,SOUTH,715.4941249999999,0.0,0.0
47,NORTH,710.535158,0.0,0.0
47,SOUTH,710.535158,0.0,0.0
48,NORTH,696.1271730000001,0.0,0.0
48,SOUTH,696.1271730000001,0.0,0.0
