,MW on primary synch reserve segment,MW on primary nonsynch reserve segment,MW on secondary reserve segment
"1,1",1000.00,1500.00,3000.00
"1,2",1000.00,1500.00,3000.00
"1,3",1000.00,1500.00,3000.00
"1,4",1000.00,1500.00,3000.00
"1,5",1000.00,1500.00,3000.00
"1,6",1000.00,1500.00,3000.00
"1,7",1000.00,1500.00,3000.00
"1,8",1000.00,1500.00,3000.00
"1,9",1000.00,1500.00,3000.00
"1,10",1000.00,1500.00,3000.00
"1,11",1000.00,1500.00,3000.00
"1,12",1000.00,1500.00,3000.00
"1,13",1000.00,1500.00,3000.00
"1,14",1000.00,1500.00,3000.00
"1,15",1000.00,1500.00,3000.00
"1,16",1000.00,1500.00,3000.00
"1,17",1000.00,1500.00,3000.00
"1,18",1000.00,1500.00,3000.00
"1,19",1000.00,1500.00,3000.00
"1,20",1000.00,1500.00,3000.00
"1,21",1000.00,1500.00,3000.00
"1,22",1000.00,1500.00,3000.00
"1,23",1000.00,1500.00,3000.00
"1,24",1000.00,1500.00,3000.00
"1,25",1000.00,1500.00,3000.00
"1,26",1000.00,1500.00,3000.00
"1,27",1000.00,1500.00,3000.00
"1,28",1000.00,1500.00,3000.00
"1,29",1000.00,1500.00,3000.00
"1,30",1000.00,1500.00,3000.00
"1,31",1000.00,1500.00,3000.00
"1,32",1000.00,1500.00,3000.00
"1,33",1000.00,1500.00,3000.00
"1,34",1000.00,1500.00,3000.00
"1,35",1000.00,1500.00,3000.00
"1,36",1000.00,1500.00,3000.00
"1,37",1000.00,1500.00,3000.00
"1,38",1000.00,1500.00,3000.00
"1,39",1000.00,1500.00,3000.00
"1,40",1000.00,1500.00,3000.00
"1,41",1000.00,1500.00,3000.00
"1,42",1000.00,1500.00,3000.00
"1,43",1000.00,1500.00,3000.00
"1,44",1000.00,1500.00,3000.00
"1,45",1000.00,1500.00,3000.00
"1,46",1000.00,1500.00,3000.00
"1,47",1000.00,1500.00,3000.00
"1,48",1000.00,1500.00,3000.00
"2,1",100.00,150.00,300.00
"2,2",100.00,150.00,300.00
"2,3",100.00,150.00,300.00
"2,4",100.00,150.00,300.00
"2,5",100.00,150.00,300.00
"2,6",100.00,150.00,300.00
"2,7",100.00,150.00,300.00
"2,8",100.00,150.00,300.00
"2,9",100.00,150.00,300.00
"2,10",100.00,150.00,300.00
