,hour,LMP,PrimarySynchReservePrice,PrimaryNonSynchReservePrice,SecondaryReservePrice,PrimarySynchPenaltyFactor
NORTH,1,26.00,5.11,0,0,5
NORTH,2,26.00,5.11,0,0,5
NORTH,3,26.00,5.11,0,0,5
NORTH,4,26.00,5.11,0,0,5
NORTH,5,26.00,5.11,0,0,5
NORTH,6,26.00,5.11,0,0,5
NORTH,7,26.00,5.11,0,0,5
NORTH,8,26.00,5.11,0,0,5
NORTH,9,26.00,5.11,0,0,5
NORTH,10,26.00,5.11,0,0,5
NORTH,11,26.00,5.11,0,0,5
NORTH,12,30.89,10.00,0,0,10
NORTH,13,78.84,50.00,0,0,50
NORTH,14,79.19,50.00,0,0,50
NORTH,15,79.19,50.00,0,0,50
NORTH,16,79.19,50.00,0,0,20
NORTH,17,79.19,50.00,0,0,50
NORTH,18,79.19,50.00,0,0,20
NORTH,19,79.19,50.00,0,0,20
NORTH,20,79.19,50.00,0,0,20
NORTH,21,79.19,50.00,0,0,20
NORTH,22,79.19,50.00,0,0,50
NORTH,23,30.89,10.00,0,0,10
NORTH,24,26.00,5.11,0,0,5
NORTH,25,8.23,3.00,0,0,3
NORTH,26,10.23,5.00,0,0,5
NORTH,27,8.23,3.00,0,0,3
NORTH,28,8.23,3.00,0,0,3
NORTH,29,8.23,3.00,0,0,3
NORTH,30,26.00,5.11,0,0,5
NORTH,31,25.89,5.00,0,0,5
NORTH,32,26.00,5.11,0,0,5
NORTH,33,26.00,5.11,0,0,5
NORTH,34,20.89,5.00,0,0,5
NORTH,35,21.70,5.00,0,0,5
NORTH,36,29.19,8.29,0,0,5
NORTH,37,42.71,20.00,0,0,20
NORTH,38,79.19,50.00,0,0,20
NORTH,39,79.19,50.00,0,0,20
NORTH,40,79.19,50.00,0,0,50
NORTH,41,79.19,50.00,0,0,20
NORTH,42,79.19,50.00,0,0,50
NORTH,43,79.19,50.00,0,0,20
NORTH,44,79.19,50.00,0,0,50
NORTH,45,79.19,50.00,0,0,50
NORTH,46,79.19,50.00,0,0,50
NORTH,47,29.19,8.29,0,0,5
NORTH,48,26.00,10.00,0,0,10
SOUTH,1,24.00,5.11,0,0,5
SOUTH,2,24.00,5.11,0,0,5
SOUTH,3,24.00,5.11,0,0,5
SOUTH,4,24.00,5.11,0,0,5
SOUTH,5,24.00,5.11,0,0,5
SOUTH,6,24.00,5.11,0,0,5
SOUTH,7,24.00,5.11,0,0,5
SOUTH,8,24.00,5.11,0,0,5
SOUTH,9,24.00,5.11,0,0,5
SOUTH,10,24.00,5.11,0,0,5
SOUTH,11,24.00,5.11,0,0,5
SOUTH,12,24.00,10.00,0,0,10
SOUTH,13,24.00,50.00,0,0,50
SOUTH,14,24.00,50.00,0,0,50
SOUTH,15,24.00,50.00,0,0,50
SOUTH,16,24.00,50.00,0,0,20
SOUTH,17,24.00,50.00,0,0,50
SOUTH,18,24.00,50.00,0,0,20
SOUTH,19,24.00,50.00,0,0,20
SOUTH,20,24.00,50.00,0,0,20
SOUTH,21,24.00,50.00,0,0,20
SOUTH,22,24.00,50.00,0,0,50
SOUTH,23,24.00,10.00,0,0,10
SOUTH,24,24.00,5.11,0,0,5
SOUTH,25,6.23,3.00,0,0,3
SOUTH,26,8.23,5.00,0,0,5
SOUTH,27,6.23,3.00,0,0,3
SOUTH,28,6.23,3.00,0,0,3
SOUTH,29,6.23,3.00,0,0,3
SOUTH,30,0,5.11,0,0,5
SOUTH,31,23.89,5.00,0,0,5
SOUTH,32,24.00,5.11,0,0,5
SOUTH,33,24.00,5.11,0,0,5
SOUTH,34,0,5.00,0,0,5
SOUTH,35,19.70,5.00,0,0,5
SOUTH,36,24.00,8.29,0,0,5
SOUTH,37,24.00,20.00,0,0,20
SOUTH,38,24.00,50.00,0,0,20
SOUTH,39,24.00,50.00,0,0,20
SOUTH,40,24.00,50.00,0,0,50
SOUTH,41,0,50.00,0,0,20
SOUTH,42,72.00,50.00,0,0,50
SOUTH,43,0,50.00,0,0,20
SOUTH,44,24.00,50.00,0,0,50
SOUTH,45,24.00,50.00,0,0,50
SOUTH,46,24.00,50.00,0,0,50
SOUTH,47,24.00,8.29,0,0,5
SOUTH,48,24.00,10.00,0,0,10
