"","date","hour","Node","LMP","gross_load","source","datetime"
"1",2014-01-04,1,"BGE",32.09,9013.56,"model: ORDC",2014-01-04 01:00:00
"2",2014-01-04,2,"BGE",28.37,8966.58,"model: ORDC",2014-01-04 02:00:00
"3",2014-01-04,3,"BGE",27.64,8971.29,"model: ORDC",2014-01-04 03:00:00
"4",2014-01-04,4,"BGE",27.6,9027.23,"model: ORDC",2014-01-04 04:00:00
"5",2014-01-04,5,"BGE",27.91,9169.47,"model: ORDC",2014-01-04 05:00:00
"6",2014-01-04,6,"BGE",29.75,9395.58,"model: ORDC",2014-01-04 06:00:00
"7",2014-01-04,7,"BGE",39.08,9732.31,"model: ORDC",2014-01-04 07:00:00
"8",2014-01-04,8,"BGE",40.36,9904.47,"model: ORDC",2014-01-04 08:00:00
"9",2014-01-04,9,"BGE",120.66,9956.2,"model: ORDC",2014-01-04 09:00:00
"10",2014-01-04,10,"BGE",39.57,9582.06,"model: ORDC",2014-01-04 10:00:00
"11",2014-01-04,11,"BGE",30.65,9236.35,"model: ORDC",2014-01-04 11:00:00
"12",2014-01-04,12,"BGE",31.18,8910.79,"model: ORDC",2014-01-04 12:00:00
"13",2014-01-04,13,"BGE",28.76,8537.32,"model: ORDC",2014-01-04 13:00:00
"14",2014-01-04,14,"BGE",27.23,8234.22,"model: ORDC",2014-01-04 14:00:00
"15",2014-01-04,15,"BGE",26.34,8035.05,"model: ORDC",2014-01-04 15:00:00
"16",2014-01-04,16,"BGE",26.07,7991.73,"model: ORDC",2014-01-04 16:00:00
"17",2014-01-04,17,"BGE",26.83,8272.43,"model: ORDC",2014-01-04 17:00:00
"18",2014-01-04,18,"BGE",28.49,9020.16,"model: ORDC",2014-01-04 18:00:00
"19",2014-01-04,19,"BGE",34.65,9231.72,"model: ORDC",2014-01-04 19:00:00
"20",2014-01-04,20,"BGE",31.66,9156.2,"model: ORDC",2014-01-04 20:00:00
"21",2014-01-04,21,"BGE",31.66,9086.55,"model: ORDC",2014-01-04 21:00:00
"22",2014-01-04,22,"BGE",28.76,8905.65,"model: ORDC",2014-01-04 22:00:00
"23",2014-01-04,23,"BGE",27.08,8563.16,"model: ORDC",2014-01-04 23:00:00
"24",2014-01-04,24,"BGE",26.28,8202.65,"model: ORDC",2014-01-05 00:00:00
"25",2014-01-04,25,"BGE",26.05,7772.38,"model: ORDC",NA
"26",2014-01-04,26,"BGE",25.56,7528.06,"model: ORDC",NA
"27",2014-01-04,27,"BGE",25.56,7313.99,"model: ORDC",NA
"28",2014-01-04,28,"BGE",25.56,7155.23,"model: ORDC",NA
"29",2014-01-04,29,"BGE",25.56,7135.98,"model: ORDC",NA
"30",2014-01-04,30,"BGE",25.56,7232.14,"model: ORDC",NA
"31",2014-01-04,1,"EAST",32.09,17888.87,"model: ORDC",2014-01-04 01:00:00
"32",2014-01-04,2,"EAST",28.37,17398.57,"model: ORDC",2014-01-04 02:00:00
"33",2014-01-04,3,"EAST",27.64,17129.48,"model: ORDC",2014-01-04 03:00:00
"34",2014-01-04,4,"EAST",27.6,17083.22,"model: ORDC",2014-01-04 04:00:00
"35",2014-01-04,5,"EAST",27.91,17217.75,"model: ORDC",2014-01-04 05:00:00
"36",2014-01-04,6,"EAST",29.75,17551.5,"model: ORDC",2014-01-04 06:00:00
"37",2014-01-04,7,"EAST",39.08,18105.11,"model: ORDC",2014-01-04 07:00:00
"38",2014-01-04,8,"EAST",40.68,18564.87,"model: ORDC",2014-01-04 08:00:00
"39",2014-01-04,9,"EAST",121.5,18985.13,"model: ORDC",2014-01-04 09:00:00
"40",2014-01-04,10,"EAST",41.61,19079.07,"model: ORDC",2014-01-04 10:00:00
"41",2014-01-04,11,"EAST",31.71,18825.75,"model: ORDC",2014-01-04 11:00:00
"42",2014-01-04,12,"EAST",31.18,18496.31,"model: ORDC",2014-01-04 12:00:00
"43",2014-01-04,13,"EAST",28.76,18016.37,"model: ORDC",2014-01-04 13:00:00
"44",2014-01-04,14,"EAST",27.23,17570.98,"model: ORDC",2014-01-04 14:00:00
"45",2014-01-04,15,"EAST",26.34,17312.79,"model: ORDC",2014-01-04 15:00:00
"46",2014-01-04,16,"EAST",26.07,17312.57,"model: ORDC",2014-01-04 16:00:00
"47",2014-01-04,17,"EAST",26.83,18240.27,"model: ORDC",2014-01-04 17:00:00
"48",2014-01-04,18,"EAST",103.75,19964.15,"model: ORDC",2014-01-04 18:00:00
"49",2014-01-04,19,"EAST",118.47,20199.49,"model: ORDC",2014-01-04 19:00:00
"50",2014-01-04,20,"EAST",108.41,19969.46,"model: ORDC",2014-01-04 20:00:00
"51",2014-01-04,21,"EAST",108.41,19630.81,"model: ORDC",2014-01-04 21:00:00
"52",2014-01-04,22,"EAST",33.84,19111.68,"model: ORDC",2014-01-04 22:00:00
"53",2014-01-04,23,"EAST",27.53,18333.2,"model: ORDC",2014-01-04 23:00:00
"54",2014-01-04,24,"EAST",26.28,17419.13,"model: ORDC",2014-01-05 00:00:00
"55",2014-01-04,25,"EAST",25.56,16426.54,"model: ORDC",NA
"56",2014-01-04,26,"EAST",24.83,15811.33,"model: ORDC",NA
"57",2014-01-04,27,"EAST",24.83,15454.38,"model: ORDC",NA
"58",2014-01-04,28,"EAST",24.83,15214.46,"model: ORDC",NA
"59",2014-01-04,29,"EAST",24.83,15088.33,"model: ORDC",NA
"60",2014-01-04,30,"EAST",24.83,15236.98,"model: ORDC",NA
"61",2014-01-04,1,"PPL",34.09,8204.63,"model: ORDC",2014-01-04 01:00:00
"62",2014-01-04,2,"PPL",30.37,8072.98,"model: ORDC",2014-01-04 02:00:00
"63",2014-01-04,3,"PPL",29.64,8036.68,"model: ORDC",2014-01-04 03:00:00
"64",2014-01-04,4,"PPL",29.6,8050.85,"model: ORDC",2014-01-04 04:00:00
"65",2014-01-04,5,"PPL",29.91,8097.8,"model: ORDC",2014-01-04 05:00:00
"66",2014-01-04,6,"PPL",31.75,8240.68,"model: ORDC",2014-01-04 06:00:00
"67",2014-01-04,7,"PPL",41.08,8605.28,"model: ORDC",2014-01-04 07:00:00
"68",2014-01-04,8,"PPL",42.36,8857.51,"model: ORDC",2014-01-04 08:00:00
"69",2014-01-04,9,"PPL",122.66,9001.74,"model: ORDC",2014-01-04 09:00:00
"70",2014-01-04,10,"PPL",41.57,8929.72,"model: ORDC",2014-01-04 10:00:00
"71",2014-01-04,11,"PPL",32.65,8712.96,"model: ORDC",2014-01-04 11:00:00
"72",2014-01-04,12,"PPL",33.18,8468.79,"model: ORDC",2014-01-04 12:00:00
"73",2014-01-04,13,"PPL",30.76,8159.42,"model: ORDC",2014-01-04 13:00:00
"74",2014-01-04,14,"PPL",29.23,7885.76,"model: ORDC",2014-01-04 14:00:00
"75",2014-01-04,15,"PPL",28.34,7715.44,"model: ORDC",2014-01-04 15:00:00
"76",2014-01-04,16,"PPL",28.07,7744.56,"model: ORDC",2014-01-04 16:00:00
"77",2014-01-04,17,"PPL",28.83,8033.07,"model: ORDC",2014-01-04 17:00:00
"78",2014-01-04,18,"PPL",30.49,8548.33,"model: ORDC",2014-01-04 18:00:00
"79",2014-01-04,19,"PPL",36.65,8600.58,"model: ORDC",2014-01-04 19:00:00
"80",2014-01-04,20,"PPL",33.66,8512.95,"model: ORDC",2014-01-04 20:00:00
"81",2014-01-04,21,"PPL",33.66,8385.87,"model: ORDC",2014-01-04 21:00:00
"82",2014-01-04,22,"PPL",30.76,8198.81,"model: ORDC",2014-01-04 22:00:00
"83",2014-01-04,23,"PPL",29.08,7894.63,"model: ORDC",2014-01-04 23:00:00
"84",2014-01-04,24,"PPL",28.28,7582.71,"model: ORDC",2014-01-05 00:00:00
"85",2014-01-04,25,"PPL",27.56,7281.51,"model: ORDC",NA
"86",2014-01-04,26,"PPL",26.83,7174.45,"model: ORDC",NA
"87",2014-01-04,27,"PPL",26.83,7186.53,"model: ORDC",NA
"88",2014-01-04,28,"PPL",26.83,7216.92,"model: ORDC",NA
"89",2014-01-04,29,"PPL",26.83,7292.73,"model: ORDC",NA
"90",2014-01-04,30,"PPL",26.83,7455.94,"model: ORDC",NA
"91",2014-01-04,1,"VA_DOM",32.09,14693,"model: ORDC",2014-01-04 01:00:00
"92",2014-01-04,2,"VA_DOM",28.37,14573,"model: ORDC",2014-01-04 02:00:00
"93",2014-01-04,3,"VA_DOM",27.64,14645,"model: ORDC",2014-01-04 03:00:00
"94",2014-01-04,4,"VA_DOM",27.96,14874,"model: ORDC",2014-01-04 04:00:00
"95",2014-01-04,5,"VA_DOM",28.29,14960,"model: ORDC",2014-01-04 05:00:00
"96",2014-01-04,6,"VA_DOM",30.61,15362,"model: ORDC",2014-01-04 06:00:00
"97",2014-01-04,7,"VA_DOM",39.38,15811,"model: ORDC",2014-01-04 07:00:00
"98",2014-01-04,8,"VA_DOM",42.36,16121,"model: ORDC",2014-01-04 08:00:00
"99",2014-01-04,9,"VA_DOM",122.66,16118,"model: ORDC",2014-01-04 09:00:00
"100",2014-01-04,10,"VA_DOM",41.57,15240,"model: ORDC",2014-01-04 10:00:00
"101",2014-01-04,11,"VA_DOM",32.65,14512,"model: ORDC",2014-01-04 11:00:00
"102",2014-01-04,12,"VA_DOM",32.05,13782,"model: ORDC",2014-01-04 12:00:00
"103",2014-01-04,13,"VA_DOM",29.08,13065,"model: ORDC",2014-01-04 13:00:00
"104",2014-01-04,14,"VA_DOM",27.31,12442,"model: ORDC",2014-01-04 14:00:00
"105",2014-01-04,15,"VA_DOM",26.78,12148,"model: ORDC",2014-01-04 15:00:00
"106",2014-01-04,16,"VA_DOM",26.21,12005,"model: ORDC",2014-01-04 16:00:00
"107",2014-01-04,17,"VA_DOM",27.04,12485,"model: ORDC",2014-01-04 17:00:00
"108",2014-01-04,18,"VA_DOM",29.18,13694,"model: ORDC",2014-01-04 18:00:00
"109",2014-01-04,19,"VA_DOM",35,14047,"model: ORDC",2014-01-04 19:00:00
"110",2014-01-04,20,"VA_DOM",32.09,13950,"model: ORDC",2014-01-04 20:00:00
"111",2014-01-04,21,"VA_DOM",32.09,13771,"model: ORDC",2014-01-04 21:00:00
"112",2014-01-04,22,"VA_DOM",29.45,13393,"model: ORDC",2014-01-04 22:00:00
"113",2014-01-04,23,"VA_DOM",27.6,12795,"model: ORDC",2014-01-04 23:00:00
"114",2014-01-04,24,"VA_DOM",26.28,12102,"model: ORDC",2014-01-05 00:00:00
"115",2014-01-04,25,"VA_DOM",26.05,11565,"model: ORDC",NA
"116",2014-01-04,26,"VA_DOM",25.9,11143,"model: ORDC",NA
"117",2014-01-04,27,"VA_DOM",25.83,10929,"model: ORDC",NA
"118",2014-01-04,28,"VA_DOM",25.75,10821,"model: ORDC",NA
"119",2014-01-04,29,"VA_DOM",25.78,10813,"model: ORDC",NA
"120",2014-01-04,30,"VA_DOM",25.83,10970,"model: ORDC",NA
"121",2014-01-04,1,"WEST",30.09,59290.06,"model: ORDC",2014-01-04 01:00:00
"122",2014-01-04,2,"WEST",26.37,57918.26,"model: ORDC",2014-01-04 02:00:00
"123",2014-01-04,3,"WEST",25.64,57044.2,"model: ORDC",2014-01-04 03:00:00
"124",2014-01-04,4,"WEST",25.6,56650.61,"model: ORDC",2014-01-04 04:00:00
"125",2014-01-04,5,"WEST",25.91,56724.2,"model: ORDC",2014-01-04 05:00:00
"126",2014-01-04,6,"WEST",27.75,57403,"model: ORDC",2014-01-04 06:00:00
"127",2014-01-04,7,"WEST",37.08,58595.29,"model: ORDC",2014-01-04 07:00:00
"128",2014-01-04,8,"WEST",38.36,60210.54,"model: ORDC",2014-01-04 08:00:00
"129",2014-01-04,9,"WEST",118.66,60703.34,"model: ORDC",2014-01-04 09:00:00
"130",2014-01-04,10,"WEST",37.57,60200.24,"model: ORDC",2014-01-04 10:00:00
"131",2014-01-04,11,"WEST",28.65,59313.21,"model: ORDC",2014-01-04 11:00:00
"132",2014-01-04,12,"WEST",29.18,58147.02,"model: ORDC",2014-01-04 12:00:00
"133",2014-01-04,13,"WEST",26.76,56627.54,"model: ORDC",2014-01-04 13:00:00
"134",2014-01-04,14,"WEST",25.23,55250.79,"model: ORDC",2014-01-04 14:00:00
"135",2014-01-04,15,"WEST",24.78,53927.63,"model: ORDC",2014-01-04 15:00:00
"136",2014-01-04,16,"WEST",24.21,53221.3,"model: ORDC",2014-01-04 16:00:00
"137",2014-01-04,17,"WEST",24.83,53906.05,"model: ORDC",2014-01-04 17:00:00
"138",2014-01-04,18,"WEST",26.49,57405.97,"model: ORDC",2014-01-04 18:00:00
"139",2014-01-04,19,"WEST",32.65,59388.66,"model: ORDC",2014-01-04 19:00:00
"140",2014-01-04,20,"WEST",29.66,59037.96,"model: ORDC",2014-01-04 20:00:00
"141",2014-01-04,21,"WEST",29.66,58505.64,"model: ORDC",2014-01-04 21:00:00
"142",2014-01-04,22,"WEST",26.76,57390.47,"model: ORDC",2014-01-04 22:00:00
"143",2014-01-04,23,"WEST",25.08,55259.78,"model: ORDC",2014-01-04 23:00:00
"144",2014-01-04,24,"WEST",24.28,52822.11,"model: ORDC",2014-01-05 00:00:00
"145",2014-01-04,25,"WEST",24.05,50520.51,"model: ORDC",NA
"146",2014-01-04,26,"WEST",23.9,49181.14,"model: ORDC",NA
"147",2014-01-04,27,"WEST",23.83,48259.51,"model: ORDC",NA
"148",2014-01-04,28,"WEST",23.75,47811.44,"model: ORDC",NA
"149",2014-01-04,29,"WEST",23.78,47807.28,"model: ORDC",NA
"150",2014-01-04,30,"WEST",23.83,48262.62,"model: ORDC",NA
"151",2014-01-05,1,"BGE",26.44,7772.38,"model: ORDC",2014-01-05 01:00:00
"152",2014-01-05,2,"BGE",26.1,7528.06,"model: ORDC",2014-01-05 02:00:00
"153",2014-01-05,3,"BGE",25.56,7313.99,"model: ORDC",2014-01-05 03:00:00
"154",2014-01-05,4,"BGE",25.56,7155.23,"model: ORDC",2014-01-05 04:00:00
"155",2014-01-05,5,"BGE",25.56,7135.98,"model: ORDC",2014-01-05 05:00:00
"156",2014-01-05,6,"BGE",25.56,7232.14,"model: ORDC",2014-01-05 06:00:00
"157",2014-01-05,7,"BGE",25.64,7406.45,"model: ORDC",2014-01-05 07:00:00
"158",2014-01-05,8,"BGE",25.93,7558.08,"model: ORDC",2014-01-05 08:00:00
"159",2014-01-05,9,"BGE",26.37,7748.58,"model: ORDC",2014-01-05 09:00:00
"160",2014-01-05,10,"BGE",27.48,7988.32,"model: ORDC",2014-01-05 10:00:00
"161",2014-01-05,11,"BGE",27.6,8093.91,"model: ORDC",2014-01-05 11:00:00
"162",2014-01-05,12,"BGE",27.58,8129.05,"model: ORDC",2014-01-05 12:00:00
"163",2014-01-05,13,"BGE",27.6,8065.67,"model: ORDC",2014-01-05 13:00:00
"164",2014-01-05,14,"BGE",27.55,8054.31,"model: ORDC",2014-01-05 14:00:00
"165",2014-01-05,15,"BGE",27.29,8007.56,"model: ORDC",2014-01-05 15:00:00
"166",2014-01-05,16,"BGE",27.23,8014.44,"model: ORDC",2014-01-05 16:00:00
"167",2014-01-05,17,"BGE",28.34,8261.91,"model: ORDC",2014-01-05 17:00:00
"168",2014-01-05,18,"BGE",34.14,8737.48,"model: ORDC",2014-01-05 18:00:00
"169",2014-01-05,19,"BGE",76.33,8750.94,"model: ORDC",2014-01-05 19:00:00
"170",2014-01-05,20,"BGE",74.13,8587.19,"model: ORDC",2014-01-05 20:00:00
"171",2014-01-05,21,"BGE",33.59,8375.11,"model: ORDC",2014-01-05 21:00:00
"172",2014-01-05,22,"BGE",27.64,7908.71,"model: ORDC",2014-01-05 22:00:00
"173",2014-01-05,23,"BGE",25.36,7296.31,"model: ORDC",2014-01-05 23:00:00
"174",2014-01-05,24,"BGE",25.29,6779.86,"model: ORDC",2014-01-06 00:00:00
"175",2014-01-05,25,"BGE",24.83,6343.14,"model: ORDC",NA
"176",2014-01-05,26,"BGE",24.82,6063.13,"model: ORDC",NA
"177",2014-01-05,27,"BGE",24.57,5879.09,"model: ORDC",NA
"178",2014-01-05,28,"BGE",24.57,5850.29,"model: ORDC",NA
"179",2014-01-05,29,"BGE",24.82,6076.6,"model: ORDC",NA
"180",2014-01-05,30,"BGE",25.51,6698.44,"model: ORDC",NA
"181",2014-01-05,1,"EAST",25.93,16426.54,"model: ORDC",2014-01-05 01:00:00
